kintamasis	1995	1999	2003	2007	2011	aprasas	lygis
TSATISF					BTBGTCS	Mokytojas patenkintas savo karjera	teach
TBENDR					BTBGCIT	Mokytojai bendradarbiauja, kad pagerintø mokymà	teach
TENGAGE					BTBGIES	Mokytojas skatina mokinius	teach
TMTEST					BTBM27	Kaip daþnai mokytoja duoda matematikos testus	teach
TDHMWRK					BTBM25A	Kaip daþnai mokytoja duoda namø darbus	teach
MDYDIS					BCBG01	Mokyklos mokiniø skaièius	school
MSUDET					BCDG03	Mokyklos mokiniø sudëtis	school
MDISSAFE					BCBGDAS	Mokyklos disciplina ir saugumas	school
MSUCCESS					BCBGEAS	Mokykla skiria dëmesá akademinei sëkmei	school
MMATSHORT					BCBGMRS	Mokymà veikia matematikos iðtekliø trûkumas	school
MCOMP					BCBG07	Kompiuteriø skaièius mokykloje	school
MAINCOME					BCBG05C	Mokyklos aplinkos visutinis pajamø lygis	school
MVIETA					BCBG05B	Mokyklos vietovë	school
MNPEOPLE					BCBG05A	Mokyklos vietovës gyvebtojø skaièius	school
MKITKALB					BCBG04	Kitakalbiø dalis mokykloje	school
MEDISAD					BCBG03A	Mokiniø su ekonominiu nepritekliumi dalis	school
MEAFFL					BCBG03B	Mokiniø su ekonominiu pertekliumi dalis	school
SSEX					BSBG01	Mokinio lytis	stud
STHMWRK					BSDMWKHW	Laikas skiriamas namø darbams per savaitæ	stud
STHEDUC					BSDGEDUP	Tëvø aukðèiausiais iðsilavinimo lygis	stud
SNSUPP					BSDG05S	Namø mokymosi sàlygø kiekis	stud
SMENG					BSBGEML	Mokinio susidomëjimas matematika	stud
SMCONF					BSBGSCM	Mokinio pasitikëjimas savimi matematikoje	stud
SMVALUE					BSBGSVM	Mokinys vertina matematikos þinias	stud
SMLIKE					BSBGSLM	Mokinys mëgsta matematikà	stud
SBULLED					BSBGSBS	Mokinys yra engiamas mokykloje	stud
SHEDRES					BSBGHER	Namø mokymosi iðtekliai	stud
