"kintamasis"	1995	1999	2003	2007	2011	aprasas	lygis
TBENDR					BTBGCIT	Mokytojai bendradarbiauja, kad pagerintų mokymą	teach
TENGAGE					BTBGIES	Mokytojas skatina mokinius	teach
TMTEST					BTBM27	Kaip dažnai mokytoja duoda matematikos testus	teach
TDHMWRK					BTBM25A	Kaip dažnai mokytoja duoda namų darbus	teach
MDYDIS					BCBG01	Mokyklos mokinių skaičius	school
MSUDET					BCDG03	Mokyklos mokinių sudėtis	school
MDISSAFE					BCBGDAS	Mokyklos disciplina ir saugumas	school
MSUCCESS					BCBGEAS	Mokykla skiria dėmesį akademinei sėkmei	school
MMATSHORT					BCBGMRS	Mokymą veikia matematikos išteklių trūkumas	school
MCOMP					BCBG07	Kompiuterių skaičius mokykloje	school
MAINCOME					BCBG05C	Mokyklos aplinkos visutinis pajamų lygis	school
MVIETA					BCBG05B	Mokyklos vietovė	school
MNPEOPLE					BCBG05A	Mokyklos vietovės gyvebtojų skaičius	school
MKITKALB					BCBG04	Kitakalbių dalis mokykloje	school
MEDISAD					BCBG03A	Mokinių su ekonominiu nepritekliumi dalis	school
MEAFFL					BCBG03B	Mokinių su ekonominiu pertekliumi dalis	school
SSEX					BSBG01	Mokinio lytis	stud
STHMWRK					BSDMWKHW	Laikas skiriamas namų darbams per savaitę	stud
STHEDUC					BSDGEDUP	Tėvų aukščiausiais išsilavinimo lygis	stud
SNSUPP					BSDG05S	Namų mokymosi sąlygų kiekis	stud
SMENG					BSBGEML	Mokinio susidomėjimas matematika	stud
SMCONF					BSBGSCM	Mokinio pasitikėjimas savimi matematikoje	stud
SMVALUE					BSBGSVM	Mokinys vertina matematikos žinias	stud
SMLIKE					BSBGSLM	Mokinys mėgsta matematiką	stud
SBULLED					BSBGSBS	Mokinys yra engiamas mokykloje	stud
SHEDRES					BSBGHER	Namų mokymosi ištekliai	stud
MINSTRHWR					BCDG06HY	Valandos skirtos instruktažui per metus	school
